Date,Asset,PnL,Type,Equity
2026-01-08 09:30:00-05:00,Zloto (XAU),-30.25,SL,4662.75
2026-01-12 09:30:00-05:00,GER40 (DAX),74.75,TP,4737.5
2026-01-14 09:30:00-05:00,GER40 (DAX),-30.25,SL,4707.25
2026-01-16 09:30:00-05:00,Zloto (XAU),-30.25,SL,4677.0
2026-01-20 09:30:00-05:00,Nasdaq 100,-30.25,SL,4646.75
2026-01-30 09:30:00-05:00,Zloto (XAU),-30.25,SL,4616.5
2026-02-03 09:30:00-05:00,Nasdaq 100,-30.25,SL,4586.25
2026-02-05 09:30:00-05:00,Zloto (XAU),-30.25,SL,4556.0
2026-02-12 10:30:00-05:00,GER40 (DAX),-30.25,SL,4525.75
2026-02-27 10:30:00-05:00,Zloto (XAU),74.75,TP,4600.5
2026-03-02 09:30:00-05:00,GER40 (DAX),-30.25,SL,4570.25
2026-03-06 09:30:00-05:00,Nasdaq 100,-30.25,SL,4540.0
2026-03-09 09:30:00-04:00,Zloto (XAU),-30.25,SL,4509.75
2026-03-12 09:30:00-04:00,Zloto (XAU),-30.25,SL,4479.5
2026-04-08 09:30:00-04:00,Zloto (XAU),-30.25,SL,4449.25
2026-04-14 09:30:00-04:00,Zloto (XAU),-30.25,SL,4419.0
2026-04-14 11:30:00-04:00,Nasdaq 100,74.75,TP,4493.75
2026-04-28 09:30:00-04:00,Zloto (XAU),74.75,TP,4568.5
2026-05-01 09:30:00-04:00,Nasdaq 100,74.75,TP,4643.25
2026-05-01 09:30:00-04:00,Zloto (XAU),-30.25,SL,4613.0
2026-05-06 09:30:00-04:00,Zloto (XAU),-30.25,SL,4582.75
2026-05-08 11:30:00-04:00,Nasdaq 100,74.75,TP,4657.5
2026-05-12 09:30:00-04:00,Zloto (XAU),-30.25,SL,4627.25
2026-05-12 10:30:00-04:00,GER40 (DAX),-30.25,SL,4597.0
2026-05-15 09:30:00-04:00,Zloto (XAU),74.75,TP,4671.75
2026-05-15 09:30:00-04:00,GER40 (DAX),-30.25,SL,4641.5
2026-05-18 10:30:00-04:00,Nasdaq 100,-30.25,SL,4611.25
2026-05-28 10:30:00-04:00,Nasdaq 100,74.75,TP,4686.0
2026-06-05 09:30:00-04:00,Zloto (XAU),74.75,TP,4760.75
2026-06-05 14:30:00-04:00,GER40 (DAX),-30.25,SL,4730.5
2026-06-10 14:30:00-04:00,Nasdaq 100,-30.25,SL,4700.25
2026-06-23 09:30:00-04:00,Nasdaq 100,-30.25,SL,4670.0
2026-07-01 09:30:00-04:00,Zloto (XAU),-30.25,SL,4639.75
2026-07-14 09:30:00-04:00,Zloto (XAU),-30.25,SL,4609.5
2026-07-15 11:30:00-04:00,Nasdaq 100,-30.25,SL,4579.25
2026-07-16 14:30:00-04:00,Zloto (XAU),74.75,TP,4654.0
